G/V degree,Dischargem,Generator power,Mechanical power,Overall Eff,Mech Eff,Head,Predicted_Eff
50.0,0.9174,85.435,94.92777777777778,0.6362923806048666,0.7089210132156885,15.0,0.6362922251445561
70.0,1.1113,114.126,126.80666666666669,0.497457497866771,0.554239032509256,21.0,0.4974575024884914
35.0,0.8109,94.013,104.4588888888889,0.6889154815367894,0.7675506985118522,17.0,0.6889191320730237
35.0,0.7911,80.094,88.99333333333333,0.6788221627728875,0.7563052931244545,15.0,0.6788238773124617
37.5,0.8551,104.8,116.44444444444444,0.6800934257610393,0.7577216625060387,18.0,0.6800921871872799
55.0,1.0231,118.461,131.6233333333333,0.5944871508929528,0.6623439887086346,20.0,0.5944873483338895
37.5,0.8185,91.513,101.68111111111112,0.6973316950956769,0.7769275680540183,16.0,0.6973299625037891
65.0,1.0434,98.619,109.57666666666668,0.5371861970374224,0.5985025040331896,18.0,0.5371863702925913
45.0,0.8844,94.355,104.83888888888887,0.6740325963007485,0.7509690288223972,16.0,0.6740331553188376
35.0,0.8562,117.361,130.4011111111111,0.65890508837461,0.7341148143554065,21.0,0.6589051365867744
40.0,0.8954,116.868,129.85333333333332,0.6607716625426798,0.7361944458122731,20.0,0.6607722144549077
50.0,0.9704,107.603,119.55888888888887,0.6258531038073142,0.6972901609374876,18.0,0.6258528577746012
35.0,0.7911,86.929,96.58777777777776,0.6967346094536299,0.776262328973308,16.0,0.6967316609953855
35.0,0.8438,112.432,124.92444444444445,0.6698667413826517,0.7463276686875495,20.0,0.6698662934386106
55.0,0.9541,86.455,96.0611111111111,0.6040795918116867,0.6730313443058462,15.0,0.6040795768914289
50.0,0.9498,99.403,110.4477777777778,0.6320652264476684,0.7042113569326901,17.0,0.6320655329505486
40.0,0.9086,122.768,136.4088888888889,0.6484868844492713,0.722507440280586,21.0,0.6484869028336504
50.0,1.004,121.143,134.60333333333332,0.6149619385547567,0.685155840079201,20.0,0.6149615864470663
60.0,1.0223,102.81,114.23333333333332,0.5700098734216813,0.6350727893753975,18.0,0.5700096830873511
45.0,0.9342,113.96,126.6222222222222,0.6510369762474271,0.7253486084549133,19.0,0.6510370930104652
